,tconst,averageRating,numVotes
1391529,tt9244920,9.5,4450
1393718,tt9307262,9.5,3799
1394031,tt9313962,9.7,12484
1394032,tt9313966,9.8,16618
1394033,tt9313968,9.8,14989
1394034,tt9313978,9.9,17985
1394463,tt9326572,9.7,4208
1398867,tt9454502,9.5,2739
1399962,tt9482544,9.5,2379
1402713,tt9583206,9.7,5400
1403122,tt9595410,9.5,2387
1403679,tt9611736,9.5,2922
1404458,tt9632460,9.6,11930
1404459,tt9632528,9.5,5817
1406519,tt9691186,9.5,12152
1406520,tt9691188,9.6,14191
1408819,tt9766682,9.5,1932
1409653,tt9790722,9.5,26551
1410074,tt9806162,9.5,27560
1410807,tt9828236,9.5,1974
1412948,tt9892336,10.0,1093
1413188,tt9898836,9.7,72900
1413460,tt9906260,9.7,125601
